"Positions for account Primary ...854 as of 10:30 AM ET, 2024/11/13",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Symbol,Description,Qty (Quantity),Price,Price Chng % (Price Change %),Price Chng $ (Price Change $),Mkt Val (Market Value),Day Chng % (Day Change %),Day Chng $ (Day Change $),Cost Basis,Gain % (Gain/Loss %),Gain $ (Gain/Loss $),Ratings,Reinvest?,Reinvest Capital Gains?,% of Acct (% of Account),Security Type
AAPL,APPLE INC,400,$223.24 ,-0.44%,($0.99),"$89,296.00 ",-0.44%,($396.00),"$19,098.69 ",367.55%,"$70,197.31 ",--,No,--,1.01%,Equity
ABBV,ABBVIE INC,300,$170.99 ,-0.06%,($0.10),"$51,297.00 ",-0.06%,($30.00),"$25,608.59 ",100.31%,"$25,688.41 ",--,No,--,0.58%,Equity
AMGN,AMGEN INC,100,$299.73 ,0.30%,$0.89 ,"$29,973.00 ",0.30%,$89.00 ,"$16,933.63 ",77%,"$13,039.37 ",--,No,--,0.34%,Equity
AMZN,AMAZON.COM INC,360,$210.92 ,0.96%,$2.01 ,"$75,932.64 ",0.96%,$725.04 ,"$23,122.08 ",228.40%,"$52,810.56 ",--,No,--,0.86%,Equity
BAC,BANK OF AMERICA CORP,800,$46.13 ,0.58%,$0.27 ,"$36,900.24 ",0.58%,$212.24 ,"$20,042.38 ",84.11%,"$16,857.86 ",--,No,--,0.42%,Equity
COST,COSTCO WHSL CORP NEW,75,$931.09 ,-0.14%,($1.29),"$69,831.75 ",-0.14%,($96.75),"$11,700.45 ",496.83%,"$58,131.30 ",--,No,--,0.79%,Equity
CSCO,CISCO SYS INC,850,$58.56 ,-0.26%,($0.15),"$49,774.05 ",-0.26%,($129.46),"$27,389.22 ",81.73%,"$22,384.83 ",--,No,--,0.56%,Equity
CVX,CHEVRON CORP NEW,250,$155.85 ,0.36%,$0.56 ,"$38,962.50 ",0.36%,$140.00 ,"$27,502.76 ",41.67%,"$11,459.74 ",--,No,--,0.44%,Equity
DOW,DOW INC,800,$44.96 ,-0.18%,($0.08),"$35,966.00 ",-0.18%,($66.00),"$28,546.65 ",25.99%,"$7,419.35 ",--,No,--,0.41%,Equity
GIS,GENERAL MLS INC,800,$64.58 ,0.50%,$0.32 ,"$51,664.00 ",0.50%,$256.00 ,"$30,320.12 ",70.40%,"$21,343.88 ",--,No,--,0.58%,Equity
GOOGL,ALPHABET INC CLASS A,700,$179.40 ,-1.22%,($2.22),"$125,580.00 ",-1.22%,"($1,554.00)","$32,166.22 ",290.41%,"$93,413.78 ",--,No,--,1.42%,Equity
HD,HOME DEPOT INC,200,$408.13 ,1.25%,$5.05 ,"$81,626.00 ",1.25%,"$1,010.00 ","$32,551.76 ",150.76%,"$49,074.24 ",--,No,--,0.92%,Equity
HON,HONEYWELL INTL INC,250,$234.10 ,0.08%,$0.19 ,"$58,525.00 ",0.08%,$47.50 ,"$24,336.84 ",140.48%,"$34,188.16 ",--,No,--,0.66%,Equity
IBM,IBM CORP,200,$210.75 ,-0.05%,($0.11),"$42,149.08 ",-0.05%,($22.92),"$22,695.54 ",85.72%,"$19,453.54 ",--,No,--,0.48%,Equity
JNJ,JOHNSON & JOHNSON,300,$152.21 ,-0.28%,($0.43),"$45,663.00 ",-0.28%,($129.00),"$32,654.49 ",39.84%,"$13,008.51 ",--,No,--,0.52%,Equity
JPM,JPMORGAN CHASE & CO,300,$243.01 ,1.44%,$3.45 ,"$72,903.00 ",1.44%,"$1,035.00 ","$27,220.16 ",167.83%,"$45,682.84 ",--,No,--,0.82%,Equity
KMB,KIMBERLY CLARK CORP,150,$133.10 ,0.72%,$0.96 ,"$19,964.69 ",0.72%,$143.69 ,"$17,050.12 ",17.09%,"$2,914.57 ",--,No,--,0.23%,Equity
KO,THE COCA-COLA CO,400,$63.01 ,-0.30%,($0.19),"$25,204.00 ",-0.30%,($76.00),"$18,634.00 ",35.26%,"$6,570.00 ",--,No,--,0.29%,Equity
LLY,ELI LILLY AND CO,30,$816.65 ,-0.27%,($2.21),"$24,499.50 ",-0.27%,($66.30),"$3,402.75 ",619.99%,"$21,096.75 ",--,No,--,0.28%,Equity
LMT,LOCKHEED MARTIN CORP,100,$560.11 ,-1.03%,($5.85),"$56,011.00 ",-1.03%,($585.00),"$24,705.68 ",126.71%,"$31,305.32 ",--,No,--,0.63%,Equity
MRK,MERCK & CO. INC.,584,$98.17 ,-0.42%,($0.42),"$57,328.36 ",-0.42%,($242.36),"$43,244.23 ",32.57%,"$14,084.13 ",--,No,--,0.65%,Equity
MSFT,MICROSOFT CORP,140,$419.38 ,-0.86%,($3.65),"$58,713.20 ",-0.86%,($511.00),"$24,772.90 ",137.01%,"$33,940.30 ",--,No,--,0.66%,Equity
NOW,SERVICENOW INC,100,"$1,049.62 ",0.13%,$1.33 ,"$104,962.00 ",0.13%,$133.00 ,"$16,911.70 ",520.65%,"$88,050.30 ",--,No,--,1.19%,Equity
PAYX,PAYCHEX INC,300,$147.48 ,-0.35%,($0.52),"$44,244.00 ",-0.35%,($156.00),"$18,279.36 ",142.04%,"$25,964.64 ",--,No,--,0.50%,Equity
PEP,PEPSICO INC,300,$163.27 ,-0.65%,($1.07),"$48,982.20 ",-0.65%,($319.80),"$29,799.42 ",64.37%,"$19,182.78 ",--,No,--,0.55%,Equity
RTX,RTX CORP,100,$123.44 ,0.06%,$0.07 ,"$12,344.00 ",0.06%,$7.00 ,"$7,849.34 ",57.26%,"$4,494.66 ",--,No,--,0.14%,Equity
SAP,SAP SE FSPONSORED ADR 1 ADR REPS 1 ORD SHS,400,$229.24 ,-2.23%,($5.23),"$91,696.00 ",-2.23%,"($2,092.00)","$42,350.18 ",116.52%,"$49,345.82 ",--,No,--,1.04%,Equity
